,Day,Plot,Treatment,Daily_mean,Weekly_average,Average_per_plot,,,,Week,Site,Treatment,Weekly_average
70,27/06/2016,15,"Saturated, cover",15.45833333,,,,,,5,15,"Saturated, cover",13.92559524
71,27/06/2016,16,Ambient,16.20833333,,,,,,5,16,Ambient,14.22619048
72,27/06/2016,17,"Nothing, disturbed, cover",15.125,,,,,,5,17,"Nothing, disturbed, cover",14.1577381
73,27/06/2016,18,"Nothing, disturbed, no cover",15.29166667,,,,,,5,18,"Nothing, disturbed, no cover",14.39285714
74,27/06/2016,2,"Saturated, no cover",14.54166667,,,,,,5,2,"Saturated, no cover",14.36904762
75,27/06/2016,3,"Nothing, disturbed, no cover",14.72916667,,,,,,5,3,"Nothing, disturbed, no cover",14.25
76,27/06/2016,4,"Nothing, disturbed, cover",15.22916667,,,,,,5,4,"Nothing, disturbed, cover",14.54761905
77,27/06/2016,5,"Light water, no cover",15.02083333,,,,,,5,5,"Light water, no cover",14.31845238
78,27/06/2016,6,"No water, cover",16.8125,,,,,,5,6,"No water, cover",14.47916667
79,27/06/2016,8,"No water, cover",16,,,,,,5,8,"No water, cover",14.29166667
80,27/06/2016,9,"Saturated, no cover",15.5625,,,,,,5,9,"Saturated, no cover",14.36011905
81,28/06/2016,10,"Light water, no cover",14.47916667,,,,,,6,10,"Light water, no cover",14.75
82,28/06/2016,11,"Saturated, cover",14.64583333,,,,,,6,11,"Saturated, cover",14.85714286
83,28/06/2016,12,"No water, no cover",14.625,,,,,,6,12,"No water, no cover",14.88392857
84,28/06/2016,13,"No water, no cover",15.72916667,,,,,,6,13,"No water, no cover",15.03869048
85,28/06/2016,14,Ambient,13.375,,,,,,6,14,Ambient,15.2797619
86,28/06/2016,15,"Saturated, cover",15.33333333,,,,,,6,15,"Saturated, cover",15.45535714
87,28/06/2016,16,Ambient,16.14583333,,,,,,6,16,Ambient,15.4702381
88,28/06/2016,17,"Nothing, disturbed, cover",14.83333333,,,,,,6,17,"Nothing, disturbed, cover",15.33035714
89,28/06/2016,18,"Nothing, disturbed, no cover",15.20833333,,,,,,6,18,"Nothing, disturbed, no cover",15.29166667
90,28/06/2016,2,"Saturated, no cover",14.5625,,,,,,6,2,"Saturated, no cover",15.27083333
91,28/06/2016,3,"Nothing, disturbed, no cover",14.75,,,,,,6,3,"Nothing, disturbed, no cover",15.07738095
92,28/06/2016,4,"Nothing, disturbed, cover",15,,,,,,6,4,"Nothing, disturbed, cover",14.82142857
93,28/06/2016,5,"Light water, no cover",15.125,,,,,,6,5,"Light water, no cover",14.59523809
94,28/06/2016,6,"No water, cover",16.52083333,,,,,,6,6,"No water, cover",14.5327381
95,28/06/2016,8,"No water, cover",15.77083333,,,,,,6,8,"No water, cover",14.69047619
96,28/06/2016,9,"Saturated, no cover",15.54166667,,,,,,6,9,"Saturated, no cover",14.51488095
97,29/06/2016,10,"Light water, no cover",14.47916667,,,,,,7,10,"Light water, no cover",14.89166667
98,29/06/2016,11,"Saturated, cover",14.875,,,,,,7,11,"Saturated, cover",14.72708333
99,29/06/2016,12,"No water, no cover",14.79166667,,,,,,7,12,"No water, no cover",14.8125
100,29/06/2016,13,"No water, no cover",16.25,,,,,,7,13,"No water, no cover",14.55208333
101,29/06/2016,14,Ambient,13.45833333,,,,,,7,14,Ambient,14.55416667
102,29/06/2016,15,"Saturated, cover",15.79166667,,,,,,7,15,"Saturated, cover",14.38125
103,29/06/2016,16,Ambient,16.33333333,,,,,,7,16,Ambient,14.61666667
104,29/06/2016,17,"Nothing, disturbed, cover",15.47916667,,,,,,7,17,"Nothing, disturbed, cover",14.575
105,29/06/2016,18,"Nothing, disturbed, no cover",15.35416667,,,,,,7,18,"Nothing, disturbed, no cover",14.51458333
106,29/06/2016,2,"Saturated, no cover",14.875,,,,,,7,2,"Saturated, no cover",14.89166667
107,29/06/2016,3,"Nothing, disturbed, no cover",15.08333333,,,,,,7,3,"Nothing, disturbed, no cover",14.70625
108,29/06/2016,4,"Nothing, disturbed, cover",15.5625,,,,,,7,4,"Nothing, disturbed, cover",13.55416667
109,29/06/2016,5,"Light water, no cover",15.625,,,,,,7,5,"Light water, no cover",13.60416667
110,29/06/2016,6,"No water, cover",17.27083333,,,,,,7,6,"No water, cover",13.77916667
111,29/06/2016,8,"No water, cover",16.14583333,,,,,,7,8,"No water, cover",13.66041667
112,29/06/2016,9,"Saturated, no cover",15.6875,,,,,,7,9,"Saturated, no cover",13.52708333
113,30/06/2016,10,"Light water, no cover",14.35416667,13.55654762,,,,,,,,
114,30/06/2016,11,"Saturated, cover",14.60416667,13.8422619,,,,,,,,
