"","Day","Plot","Daily_mean","Treatment"
"159",2016-08-14,"11",14.5416666666667,"1"
"160",2016-06-23,"13",17.5,"3"
"161",2016-06-24,"13",16.2083333333333,"3"
"162",2016-06-25,"13",15.2083333333333,"3"
"163",2016-06-26,"13",15.3333333333333,"3"
"164",2016-06-27,"13",15.6666666666667,"3"
"165",2016-06-28,"13",15.7291666666667,"3"
"166",2016-06-29,"13",16.25,"3"
"167",2016-06-30,"13",15.2916666666667,"3"
"168",2016-07-01,"13",14.25,"3"
"169",2016-07-02,"13",14,"3"
"170",2016-07-03,"13",12.0208333333333,"3"
"171",2016-07-04,"13",14.8333333333333,"3"
"172",2016-07-05,"13",16.375,"3"
"173",2016-07-06,"13",15.6041666666667,"3"
"174",2016-07-07,"13",16.2708333333333,"3"
"175",2016-07-08,"13",17.5208333333333,"3"
"176",2016-07-09,"13",17.8541666666667,"3"
"177",2016-07-10,"13",15.25,"3"
"178",2016-07-11,"13",16.6666666666667,"3"
"179",2016-07-12,"13",18.3541666666667,"3"
"180",2016-07-13,"13",18.875,"3"
"181",2016-07-14,"13",19.4375,"3"
"182",2016-07-15,"13",18.6666666666667,"3"
"183",2016-07-16,"13",18.7291666666667,"3"
"184",2016-07-17,"13",20.125,"3"
"185",2016-07-18,"13",19.9375,"3"
"186",2016-07-19,"13",16.9791666666667,"3"
"187",2016-07-20,"13",16.125,"3"
"188",2016-07-21,"13",14.1458333333333,"3"
"189",2016-07-22,"13",14.8125,"3"
"190",2016-07-23,"13",12.8125,"3"
"191",2016-07-24,"13",14.4375,"3"
"192",2016-07-25,"13",15.1458333333333,"3"
"193",2016-07-26,"13",15.0833333333333,"3"
"194",2016-07-27,"13",14.6666666666667,"3"
"195",2016-07-28,"13",16.75,"3"
"196",2016-07-29,"13",16.2083333333333,"3"
"197",2016-07-30,"13",14.4583333333333,"3"
"198",2016-07-31,"13",14.9583333333333,"3"
"199",2016-08-01,"13",16.8541666666667,"3"
"200",2016-08-02,"13",15.4791666666667,"3"
"201",2016-08-03,"13",13.9166666666667,"3"
"202",2016-08-04,"13",14.9583333333333,"3"
"203",2016-08-05,"13",14.7916666666667,"3"
"204",2016-08-06,"13",16.6041666666667,"3"
"205",2016-08-07,"13",15.9583333333333,"3"
"206",2016-08-08,"13",16.8333333333333,"3"
"207",2016-08-09,"13",16.5416666666667,"3"
"208",2016-08-10,"13",15.5625,"3"
"209",2016-08-11,"13",15.0625,"3"
"210",2016-08-12,"13",13.6458333333333,"3"
"211",2016-08-13,"13",13.5,"3"
"212",2016-08-14,"13",14.6875,"3"
"213",2016-06-23,"14",14.5,"4"
"214",2016-06-24,"14",13.9375,"4"
"215",2016-06-25,"14",13.2083333333333,"4"
"216",2016-06-26,"14",13.1875,"4"
"217",2016-06-27,"14",13.375,"4"
"218",2016-06-28,"14",13.375,"4"
"219",2016-06-29,"14",13.4583333333333,"4"
"220",2016-06-30,"14",13.3125,"4"
"221",2016-07-01,"14",12.4375,"4"
"222",2016-07-02,"14",12.3125,"4"
"223",2016-07-03,"14",11.1666666666667,"4"
"224",2016-07-04,"14",12.4583333333333,"4"
