Number ,Date,Site,Treatment,Elevation,Mean_temp,Weekly_av,Average_per_plot ,,,,Week,Site,Treatment,Elevation ,Mean_weekly_temp
854,06/08/2016,7,T,1551,9.395833,,,,,,,,,,
855,06/08/2016,8,A,1684,5.541667,,,,,,,,,,
837,06/08/2016,10,A,1926,7.8125,,,,,,,,,,
838,06/08/2016,10,B,1926,11.895833,,,,,,,,,,
839,06/08/2016,10,M,1926,10.375,,,,,,,,,,
840,06/08/2016,10,T,1926,9.833333,,,,,,,,,,
860,07/08/2016,1,B,794,11.604167,,,,,,,,,,
861,07/08/2016,1,M,794,10.166667,,,,,,,,,,
862,07/08/2016,1,T,794,10.666667,,,,,,,,,,
863,07/08/2016,2,A,922,10.1875,,,,,,,,,,
864,07/08/2016,3,A,1049,6.708333,,,,,,,,,,
865,07/08/2016,4,A,1175,4.3125,,,,,,,,,,
866,07/08/2016,4,B,1175,7.645833,,,,,,,,,,
867,07/08/2016,4,M,1175,7.3125,,,,,,,,,,
868,07/08/2016,4,T,1175,6.270833,,,,,,,,,,
869,07/08/2016,5,A,1299,8.9375,,,,,,,,,,
870,07/08/2016,6,A,1425,8.916667,,,,,,,,,,
871,07/08/2016,7,B,1551,11.625,,,,,,,,,,
872,07/08/2016,7,M,1551,10.229167,,,,,,,,,,
873,07/08/2016,7,T,1551,9.208333,,,,,,,,,,
874,07/08/2016,8,A,1684,5.416667,,,,,,,,,,
856,07/08/2016,10,A,1926,7.25,,,,,,,,,,
857,07/08/2016,10,B,1926,10.604167,,,,,,,,,,
858,07/08/2016,10,M,1926,9,,,,,,,,,,
859,07/08/2016,10,T,1926,9.645833,,,,,,,,,,
879,08/08/2016,1,B,794,12.958333,,,,,,,,,,
880,08/08/2016,1,M,794,10.833333,,,,,,,,,,
881,08/08/2016,1,T,794,11.541667,,,,,,,,,,
882,08/08/2016,2,A,922,10.666667,,,,,,,,,,
883,08/08/2016,3,A,1049,6.770833,,,,,,,,,,
884,08/08/2016,4,A,1175,4.3125,,,,,,,,,,
885,08/08/2016,4,B,1175,8.041667,,,,,,,,,,
886,08/08/2016,4,M,1175,7.541667,,,,,,,,,,
887,08/08/2016,4,T,1175,6.270833,,,,,,,,,,
888,08/08/2016,5,A,1299,9.083333,,,,,,,,,,
889,08/08/2016,6,A,1425,9.083333,,,,,,,,,,
890,08/08/2016,7,B,1551,11.666667,,,,,,,,,,
891,08/08/2016,7,M,1551,10.041667,,,,,,,,,,
892,08/08/2016,7,T,1551,9.229167,,,,,,,,,,
893,08/08/2016,8,A,1684,5.416667,,,,,,,,,,
875,08/08/2016,10,A,1926,7.333333,,,,,,,,,,
876,08/08/2016,10,B,1926,10.041667,,,,,,,,,,
877,08/08/2016,10,M,1926,8.833333,,,,,,,,,,
878,08/08/2016,10,T,1926,9.229167,,,,,,,,,,
898,09/08/2016,1,B,794,11.854167,,,,,,,,,,
899,09/08/2016,1,M,794,9.333333,,,,,,,,,,
900,09/08/2016,1,T,794,10.104167,,,,,,,,,,
901,09/08/2016,2,A,922,10.625,,,,,,,,,,
902,09/08/2016,3,A,1049,6,,,,,,,,,,
903,09/08/2016,4,A,1175,4.166667,,,,,,,,,,
904,09/08/2016,4,B,1175,7.145833,,,,,,,,,,
905,09/08/2016,4,M,1175,7.041667,,,,,,,,,,
906,09/08/2016,4,T,1175,5.9375,,,,,,,,,,
907,09/08/2016,5,A,1299,8.520833,,,,,,,,,,
908,09/08/2016,6,A,1425,8.541667,,,,,,,,,,
909,09/08/2016,7,B,1551,11.020833,,,,,,,,,,
910,09/08/2016,7,M,1551,9.416667,,,,,,,,,,
911,09/08/2016,7,T,1551,9.1875,,,,,,,,,,
912,09/08/2016,8,A,1684,5.229167,,,,,,,,,,
894,09/08/2016,10,A,1926,7,,,,,,,,,,
895,09/08/2016,10,B,1926,10.291667,,,,,,,,,,
896,09/08/2016,10,M,1926,8.3125,,,,,,,,,,
897,09/08/2016,10,T,1926,9.333333,,,,,,,,,,
917,10/08/2016,1,B,794,10.916667,,,,,,,,,,
918,10/08/2016,1,M,794,8.625,,,,,,,,,,
919,10/08/2016,1,T,794,9.5,,,,,,,,,,
920,10/08/2016,2,A,922,10.0625,,,,,,,,,,
921,10/08/2016,3,A,1049,5.395833,,,,,,,,,,
922,10/08/2016,4,A,1175,3.958333,,,,,,,,,,
923,10/08/2016,4,B,1175,6.75,,,,,,,,,,
924,10/08/2016,4,M,1175,6.666667,,,,,,,,,,
925,10/08/2016,4,T,1175,5.625,,,,,,,,,,
926,10/08/2016,5,A,1299,8.145833,,,,,,,,,,
927,10/08/2016,6,A,1425,8.166667,,,,,,,,,,
928,10/08/2016,7,B,1551,9.458333,,,,,,,,,,
929,10/08/2016,7,M,1551,8.25,,,,,,,,,,
930,10/08/2016,7,T,1551,8.25,,,,,,,,,,
931,10/08/2016,8,A,1684,4.895833,,,,,,,,,,
913,10/08/2016,10,A,1926,6.333333,,,,,,,,,,
914,10/08/2016,10,B,1926,8.791667,,,,,,,,,,
915,10/08/2016,10,M,1926,6.791667,,,,,,,,,,
916,10/08/2016,10,T,1926,7.9375,,,,,,,,,,
936,11/08/2016,1,B,794,10.770833,,,,,,,,,,
937,11/08/2016,1,M,794,9.208333,,,,,,,,,,
938,11/08/2016,1,T,794,10.020833,,,,,,,,,,
939,11/08/2016,2,A,922,9.4375,,,,,,,,,,
940,11/08/2016,3,A,1049,5.3125,,,,,,,,,,
941,11/08/2016,4,A,1175,3.9375,,,,,,,,,,
942,11/08/2016,4,B,1175,6.583333,,,,,,,,,,
943,11/08/2016,4,M,1175,6.333333,,,,,,,,,,
944,11/08/2016,4,T,1175,5.395833,,,,,,,,,,
945,11/08/2016,5,A,1299,8.041667,,,,,,,,,,
946,11/08/2016,6,A,1425,8,,,,,,,,,,
947,11/08/2016,7,B,1551,9.479167,,,,,,,,,,
948,11/08/2016,7,M,1551,8.083333,,,,,,,,,,
949,11/08/2016,7,T,1551,8,,,,,,,,,,
950,11/08/2016,8,A,1684,4.5625,,,,,,,,,,
932,11/08/2016,10,A,1926,6,,,,,,,,,,
933,11/08/2016,10,B,1926,8.479167,,,,,,,,,,
934,11/08/2016,10,M,1926,6.6875,,,,,,,,,,
935,11/08/2016,10,T,1926,7.625,,,,,,,,,,
955,12/08/2016,1,B,794,11.25,,,,,,,,,,
956,12/08/2016,1,M,794,9.479167,,,,,,,,,,
957,12/08/2016,1,T,794,10.25,,,,,,,,,,
958,12/08/2016,2,A,922,9.229167,,,,,,,,,,
959,12/08/2016,3,A,1049,5.541667,,,,,,,,,,
960,12/08/2016,4,A,1175,3.833333,,,,,,,,,,
961,12/08/2016,4,B,1175,6.6875,,,,,,,,,,
962,12/08/2016,4,M,1175,6.1875,,,,,,,,,,
963,12/08/2016,4,T,1175,5.25,,,,,,,,,,
964,12/08/2016,5,A,1299,7.854167,,,,,,,,,,
965,12/08/2016,6,A,1425,7.916667,,,,,,,,,,
966,12/08/2016,7,B,1551,8.645833,,,,,,,,,,
967,12/08/2016,7,M,1551,7.25,,,,,,,,,,
968,12/08/2016,7,T,1551,7.458333,,,,,,,,,,
969,12/08/2016,8,A,1684,4.291667,,,,,,,,,,
951,12/08/2016,10,A,1926,5.583333,,,,,,,,,,
952,12/08/2016,10,B,1926,6.9375,,,,,,,,,,
953,12/08/2016,10,M,1926,5.5625,,,,,,,,,,
954,12/08/2016,10,T,1926,7.020833,,,,,,,,,,
974,13/08/2016,1,B,794,12.083333,,,,,,,,,,
975,13/08/2016,1,M,794,9.770833,,,,,,,,,,
976,13/08/2016,1,T,794,10.416667,,,,,,,,,,
977,13/08/2016,2,A,922,9.833333,,,,,,,,,,
978,13/08/2016,3,A,1049,5.708333,,,,,,,,,,
979,13/08/2016,4,A,1175,4.145833,,,,,,,,,,
980,13/08/2016,4,B,1175,7.0625,,,,,,,,,,
981,13/08/2016,4,M,1175,6.75,,,,,,,,,,
982,13/08/2016,4,T,1175,5.541667,,,,,,,,,,
983,13/08/2016,5,A,1299,8.104167,,,,,,,,,,
984,13/08/2016,6,A,1425,8.083333,,,,,,,,,,
985,13/08/2016,7,B,1551,9.208333,,,,,,,,,,
986,13/08/2016,7,M,1551,7.666667,,,,,,,,,,
987,13/08/2016,7,T,1551,7.5625,,,,,,,,,,
988,13/08/2016,8,A,1684,4.291667,,,,,,,,,,
970,13/08/2016,10,A,1926,5.541667,,,,,,,,,,
971,13/08/2016,10,B,1926,7.104167,,,,,,,,,,
972,13/08/2016,10,M,1926,5.8125,,,,,,,,,,
973,13/08/2016,10,T,1926,7.020833,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
