Number ,Date,Site,Treatment,Elevation,Mean_temp,Weekly_av,Average_per_plot ,,,,Week,Site,Treatment,Elevation ,Mean_weekly_temp
120,29/06/2016,1,M,794,8.4375,,,,,,6,1,M,794,9.211309571
121,29/06/2016,1,T,794,10.041667,,,,,,6,1,T,794,9.154761857
122,29/06/2016,2,A,922,8.708333,,,,,,6,2,A,922,9.797619
123,29/06/2016,3,A,1049,5.645833,,,,,,6,3,A,1049,5.946428714
124,29/06/2016,4,A,1175,2.75,,,,,,6,4,A,1175,3.800595286
125,29/06/2016,4,B,1175,7.4375,,,,,,6,4,B,1175,7.148809571
126,29/06/2016,4,M,1175,5.729167,,,,,,6,4,M,1175,6.755952429
127,29/06/2016,4,T,1175,5.416667,,,,,,6,4,T,1175,5.663690571
128,29/06/2016,5,A,1299,6.541667,,,,,,6,5,A,1299,8.383928571
129,29/06/2016,6,A,1425,5.458333,,,,,,6,6,A,1425,8.836309571
130,29/06/2016,7,B,1551,11.041667,,,,,,6,7,B,1551,10.82440471
131,29/06/2016,7,M,1551,8.729167,,,,,,6,7,M,1551,9.321428429
132,29/06/2016,7,T,1551,7.625,,,,,,6,7,T,1551,8.607142857
133,29/06/2016,8,A,1684,2.791667,,,,,,6,8,A,1684,5.113095143
115,29/06/2016,10,A,1926,4.375,,,,,,6,10,A,1926,7.270833286
116,29/06/2016,10,B,1926,9.770833,,,,,,6,10,B,1926,10.55059529
117,29/06/2016,10,M,1926,7.458333,,,,,,6,10,M,1926,8.583333429
118,29/06/2016,10,T,1926,7.6875,,,,,,6,10,T,1926,8.714285714
138,30/06/2016,1,B,794,11.770833,,,,,,7,1,B,794,11.45535714
139,30/06/2016,1,M,794,9.9375,,,,,,7,1,M,794,9.883928429
140,30/06/2016,1,T,794,10.333333,,,,,,7,1,T,794,10.34821429
141,30/06/2016,2,A,922,10.25,,,,,,7,2,A,922,10.23809529
142,30/06/2016,3,A,1049,6.270833,,,,,,7,3,A,1049,6.193452286
143,30/06/2016,4,A,1175,3.4375,,,,,,7,4,A,1175,4.157738143
144,30/06/2016,4,B,1175,8.083333,,,,,,7,4,B,1175,7.488095143
145,30/06/2016,4,M,1175,7.145833,,,,,,7,4,M,1175,7.136904857
146,30/06/2016,4,T,1175,5.604167,,,,,,7,4,T,1175,6.005952286
147,30/06/2016,5,A,1299,7.125,,,,,,7,5,A,1299,8.645833286
148,30/06/2016,6,A,1425,5.8125,,,,,,7,6,A,1425,8.657738143
149,30/06/2016,7,B,1551,8.9375,,,,,,7,7,B,1551,10.91369057
150,30/06/2016,7,M,1551,7.791667,,,,,,7,7,M,1551,9.398809571
151,30/06/2016,7,T,1551,6.958333,,,,,,7,7,T,1551,8.800595143
152,30/06/2016,8,A,1684,2.916667,,,,,,7,8,A,1684,5.181547714
134,30/06/2016,10,A,1926,4.25,,,,,,7,10,A,1926,6.976190429
135,30/06/2016,10,B,1926,8.166667,,,,,,7,10,B,1926,10.074405
136,30/06/2016,10,M,1926,6.083333,,,,,,7,10,M,1926,8.372023857
137,30/06/2016,10,T,1926,6.5,,,,,,7,10,T,1926,8.922619
157,01/07/2016,1,B,794,10.9375,11.577381,,,,,8,1,B,794,11.50231478
158,01/07/2016,1,M,794,8.854167,9.699404714,,,,,8,1,M,794,9.826388778
159,01/07/2016,1,T,794,9.583333,10.41964286,,,,,8,1,T,794,10.34490744
160,01/07/2016,2,A,922,9.1875,9.401785714,,,,,8,2,A,922,10.08101856
161,01/07/2016,3,A,1049,5.833333,6.133928429,,,,,8,3,A,1049,6.067129556
162,01/07/2016,4,A,1175,3.145833,3.392857143,,,,,8,4,A,1175,4.120370333
163,01/07/2016,4,B,1175,7.020833,7.434523714,,,,,8,4,B,1175,7.351851778
164,01/07/2016,4,M,1175,6.270833,6.779761857,,,,,8,4,M,1175,6.988426
165,01/07/2016,4,T,1175,5.354167,5.342262,,,,,8,4,T,1175,5.870370333
166,01/07/2016,5,A,1299,6.5,7.077380857,,,,,8,5,A,1299,8.497685222
167,01/07/2016,6,A,1425,5.583333,6.5625,,,,,8,6,A,1425,8.511574111
168,01/07/2016,7,B,1551,9.520833,9.538690429,,,,,8,7,B,1551,10.47222222
169,01/07/2016,7,M,1551,7.4375,7.940476143,,,,,8,7,M,1551,8.967592667
170,01/07/2016,7,T,1551,6.875,6.952381143,,,,,8,7,T,1551,8.513888778
171,01/07/2016,8,A,1684,2.645833,3.050595286,,,,,8,8,A,1684,4.983796444
153,01/07/2016,10,A,1926,3.916667,4.321428571,,,,,8,10,A,1926,6.662037
154,01/07/2016,10,B,1926,7.833333,7.800595286,,,,,8,10,B,1926,9.395833556
155,01/07/2016,10,M,1926,5.979167,6.342261857,,,,,8,10,M,1926,7.775463
156,01/07/2016,10,T,1926,6.416667,6.538690429,,,,,8,10,T,1926,8.499999889
176,02/07/2016,1,B,794,11.166667,,,,,,,,,,
177,02/07/2016,1,M,794,10.25,,,,,,,,,,
178,02/07/2016,1,T,794,10.1875,,,,,,,,,,
179,02/07/2016,2,A,922,8.958333,,,,,,,,,,
180,02/07/2016,3,A,1049,6.520833,,,,,,,,,,
181,02/07/2016,4,A,1175,3.5,,,,,,,,,,
182,02/07/2016,4,B,1175,7,,,,,,,,,,
183,02/07/2016,4,M,1175,6.625,,,,,,,,,,
184,02/07/2016,4,T,1175,5.166667,,,,,,,,,,
185,02/07/2016,5,A,1299,6.8125,,,,,,,,,,
186,02/07/2016,6,A,1425,5.9375,,,,,,,,,,
187,02/07/2016,7,B,1551,7.625,,,,,,,,,,
188,02/07/2016,7,M,1551,6.916667,,,,,,,,,,
189,02/07/2016,7,T,1551,6.166667,,,,,,,,,,
190,02/07/2016,8,A,1684,2.541667,,,,,,,,,,
172,02/07/2016,10,A,1926,3.8125,,,,,,,,,,
173,02/07/2016,10,B,1926,6.708333,,,,,,,,,,
174,02/07/2016,10,M,1926,5.145833,,,,,,,,,,
175,02/07/2016,10,T,1926,5.645833,,,,,,,,,,
195,03/07/2016,1,B,794,10.375,,,,,,,,,,
196,03/07/2016,1,M,794,9.520833,,,,,,,,,,
197,03/07/2016,1,T,794,9.520833,,,,,,,,,,
198,03/07/2016,2,A,922,8.229167,,,,,,,,,,
199,03/07/2016,3,A,1049,5.8125,,,,,,,,,,
200,03/07/2016,4,A,1175,3.125,,,,,,,,,,
201,03/07/2016,4,B,1175,6.708333,,,,,,,,,,
202,03/07/2016,4,M,1175,6.1875,,,,,,,,,,
203,03/07/2016,4,T,1175,4.1875,,,,,,,,,,
204,03/07/2016,5,A,1299,6.583333,,,,,,,,,,
205,03/07/2016,6,A,1425,6.020833,,,,,,,,,,
206,03/07/2016,7,B,1551,7.75,,,,,,,,,,
207,03/07/2016,7,M,1551,6.729167,,,,,,,,,,
208,03/07/2016,7,T,1551,6,,,,,,,,,,
209,03/07/2016,8,A,1684,2.5625,,,,,,,,,,
191,03/07/2016,10,A,1926,3.645833,,,,,,,,,,
192,03/07/2016,10,B,1926,6.229167,,,,,,,,,,
193,03/07/2016,10,M,1926,5.0625,,,,,,,,,,
194,03/07/2016,10,T,1926,5.3125,,,,,,,,,,
214,04/07/2016,1,B,794,11.3125,,,,,,,,,,
215,04/07/2016,1,M,794,8.875,,,,,,,,,,
216,04/07/2016,1,T,794,10.166667,,,,,,,,,,
217,04/07/2016,2,A,922,8.375,,,,,,,,,,
218,04/07/2016,3,A,1049,5.708333,,,,,,,,,,
219,04/07/2016,4,A,1175,2.916667,,,,,,,,,,
220,04/07/2016,4,B,1175,7.395833,,,,,,,,,,
221,04/07/2016,4,M,1175,5.9375,,,,,,,,,,
222,04/07/2016,4,T,1175,4.6875,,,,,,,,,,
223,04/07/2016,5,A,1299,6.875,,,,,,,,,,
224,04/07/2016,6,A,1425,6.520833,,,,,,,,,,
225,04/07/2016,7,B,1551,10.875,,,,,,,,,,
226,04/07/2016,7,M,1551,8.208333,,,,,,,,,,
227,04/07/2016,7,T,1551,7.104167,,,,,,,,,,
228,04/07/2016,8,A,1684,2.875,,,,,,,,,,
210,04/07/2016,10,A,1926,4.4375,,,,,,,,,,
211,04/07/2016,10,B,1926,8.333333,,,,,,,,,,
212,04/07/2016,10,M,1926,7.208333,,,,,,,,,,
213,04/07/2016,10,T,1926,6.833333,,,,,,,,,,
233,05/07/2016,1,B,794,11.895833,,,,,,,,,,
234,05/07/2016,1,M,794,9.020833,,,,,,,,,,
235,05/07/2016,1,T,794,10.4375,,,,,,,,,,
236,05/07/2016,2,A,922,9.604167,,,,,,,,,,
237,05/07/2016,3,A,1049,6.041667,,,,,,,,,,
238,05/07/2016,4,A,1175,3.520833,,,,,,,,,,
239,05/07/2016,4,B,1175,7.9375,,,,,,,,,,
240,05/07/2016,4,M,1175,7.270833,,,,,,,,,,
241,05/07/2016,4,T,1175,6,,,,,,,,,,
242,05/07/2016,5,A,1299,7.395833,,,,,,,,,,
243,05/07/2016,6,A,1425,7.041667,,,,,,,,,,
244,05/07/2016,7,B,1551,11.854167,,,,,,,,,,
245,05/07/2016,7,M,1551,9.4375,,,,,,,,,,
246,05/07/2016,7,T,1551,7.979167,,,,,,,,,,
247,05/07/2016,8,A,1684,3.479167,,,,,,,,,,
229,05/07/2016,10,A,1926,5.0625,,,,,,,,,,
230,05/07/2016,10,B,1926,9.979167,,,,,,,,,,
231,05/07/2016,10,M,1926,8.375,,,,,,,,,,
232,05/07/2016,10,T,1926,8.1875,,,,,,,,,,
252,06/07/2016,1,B,794,12.166667,,,,,,,,,,
253,06/07/2016,1,M,794,10.083333,,,,,,,,,,
254,06/07/2016,1,T,794,10.875,,,,,,,,,,
255,06/07/2016,2,A,922,10.25,,,,,,,,,,
256,06/07/2016,3,A,1049,6.145833,,,,,,,,,,
257,06/07/2016,4,A,1175,3.625,,,,,,,,,,
258,06/07/2016,4,B,1175,7.625,,,,,,,,,,
259,06/07/2016,4,M,1175,7.229167,,,,,,,,,,
260,06/07/2016,4,T,1175,5.875,,,,,,,,,,
261,06/07/2016,5,A,1299,7.333333,,,,,,,,,,
262,06/07/2016,6,A,1425,7.104167,,,,,,,,,,
263,06/07/2016,7,B,1551,9.375,,,,,,,,,,
264,06/07/2016,7,M,1551,8.208333,,,,,,,,,,
265,06/07/2016,7,T,1551,7.104167,,,,,,,,,,
266,06/07/2016,8,A,1684,3.625,,,,,,,,,,
248,06/07/2016,10,A,1926,4.604167,,,,,,,,,,
249,06/07/2016,10,B,1926,7.791667,,,,,,,,,,
250,06/07/2016,10,M,1926,6.291667,,,,,,,,,,
251,06/07/2016,10,T,1926,6.729167,,,,,,,,,,
271,07/07/2016,1,B,794,13.1875,,,,,,,,,,
272,07/07/2016,1,M,794,11.291667,,,,,,,,,,
273,07/07/2016,1,T,794,12.166667,,,,,,,,,,
