tea_typre,Moiture_VWC,Treatment,percent_mass_loss,plo,phi,
G,10.9,"disturbance, cover",64.33002353,58.10918241,70.55086465,
G,13.9,"disturbance, cover",63.90213732,57.72167796,70.08259668,
G,21.8,"disturbance, cover",62.7753703,56.47620238,69.07453821,
G,18.4,"disturbance, cover",63.260308,57.05189428,69.46872172,
G,16.3,"disturbance, cover",63.55982835,57.37768553,69.74197117,
G,8.5,"disturbance, cover",64.6723325,58.38576475,70.95890026,
G,10.9,"disturbance, cover",64.33002353,58.10918241,70.55086465,
G,13.9,"disturbance, cover",63.90213732,57.72167796,70.08259668,
G,21.5,light water,59.97820598,53.79400622,66.16240573,
G,17.3,light water,60.57724668,54.31186526,66.8426281,
G,18.6,light water,60.39182932,54.16129319,66.62236545,
G,29.1,light water,58.89422758,52.62272471,65.16573044,
G,30.8,light water,58.65175872,52.32016286,64.98335458,
G,21.3,light water,60.00673173,53.8207444,66.19271906,
G,21.5,light water,59.97820598,53.79400622,66.16240573,
G,17.3,light water,60.57724668,54.31186526,66.8426281,
G,18.6,light water,60.39182932,54.16129319,66.62236545,
G,29.1,light water,58.89422758,52.62272471,65.16573044,
G,30.8,light water,58.65175872,52.32016286,64.98335458,
G,21.3,light water,60.00673173,53.8207444,66.19271906,
G,3.4,"no water, cover",59.17497612,52.92355387,65.42639837,
G,4.8,"no water, cover",58.97529589,52.75758544,65.19300633,
G,4.3,"no water, cover",59.04661026,52.81801352,65.27520699,
G,16.6,"no water, cover",57.29227679,50.95334865,63.63120493,
G,19.8,"no water, cover",56.83586483,50.34312492,63.32860473,
G,3.4,"no water, cover",59.17497612,52.92355387,65.42639837,
G,4.8,"no water, cover",58.97529589,52.75758544,65.19300633,
G,4.3,"no water, cover",59.04661026,52.81801352,65.27520699,
G,16.6,"no water, cover",57.29227679,50.95334865,63.63120493,
G,19.8,"no water, cover",56.83586483,50.34312492,63.32860473,
G,40.6,"heavy water, cover",63.31089424,57.03939138,69.58239711,
G,27.9,"heavy water, cover",65.12227921,58.82777061,71.4167878,
G,43.2,"heavy water, cover",62.94005953,56.57090308,69.30921597,
G,34.6,"heavy water, cover",64.16666667,57.98920125,70.34413209,
G,32,"heavy water, cover",64.53750138,58.34226897,70.7327338,
G,29.3,"heavy water, cover",64.92259897,58.67163695,71.17356099,
G,40.6,"heavy water, cover",63.31089424,57.03939138,69.58239711,
G,27.9,"heavy water, cover",65.12227921,58.82777061,71.4167878,
G,43.2,"heavy water, cover",62.94005953,56.57090308,69.30921597,
G,34.6,"heavy water, cover",64.16666667,57.98920125,70.34413209,
G,32,"heavy water, cover",64.53750138,58.34226897,70.7327338,
G,29.3,"heavy water, cover",64.92259897,58.67163695,71.17356099,
G,4.1,no water,62.29305509,56.11361304,68.47249715,
G,2.6,no water,62.5069982,56.32847713,68.68551927,
G,2.4,no water,62.53552395,56.356231,68.7148169,
G,3.8,no water,62.33584372,56.15753318,68.51415425,
G,2.1,no water,62.57831257,56.39746737,68.75915777,
G,4.4,no water,62.25026647,56.0692196,68.43131334,
G,4.1,no water,62.29305509,56.11361304,68.47249715,
G,2.6,no water,62.5069982,56.32847713,68.68551927,
G,2.4,no water,62.53552395,56.356231,68.7148169,
G,3.8,no water,62.33584372,56.15753318,68.51415425,
G,2.1,no water,62.57831257,56.39746737,68.75915777,
G,4.4,no water,62.25026647,56.0692196,68.43131334,
G,37.2,nothing,58.92948505,52.71004967,65.14892043,
G,36.7,nothing,59.00079942,52.7911753,65.21042354,
G,36.8,nothing,58.98653655,52.77505364,65.19801945,
G,30.9,nothing,59.8280461,53.63667288,66.01941932,
G,29.9,nothing,59.97067483,53.76461276,66.17673691,
G,27.7,nothing,60.28445806,54.02788021,66.5410359,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
