Treatment,Code,Moisture_VWC,Before/after,Date,Probe_type,Site
"Nothing, disturbed, cover ",D/C,1,After,09/07/16,Chinese,
"Nothing, disturbed, cover ",D/C,1,Before,13/07/16,Chinese,
"Nothing, disturbed, cover ",D/C,1,After,13/07/16,Chinese,
"Nothing, disturbed, cover ",D/C,1,Before,16/07/16,Chinese,
"Nothing, disturbed, cover ",D/C,1,After,16/07/16,Chinese,
"Nothing, disturbed, cover ",D/C,1,Before,20/07/16,Chinese,
"Nothing, disturbed, cover ",D/C,1,After,20/07/16,Chinese,
"Nothing, disturbed, cover ",D/C,1,Before,23/07/16,Chinese,
"Nothing, disturbed, cover ",D/C,1,After,23/07/16,Chinese,
"Nothing, disturbed, cover ",D/C,1,Before,27/07/16,Chinese,
"Nothing, disturbed, cover ",D/C,1,After,27/07/16,Chinese,
"Nothing, disturbed, cover ",D/C,1,Before,30/07/16,Chinese,
"Nothing, disturbed, cover ",D/C,1,After,30/07/16,Chinese,
"Nothing, disturbed, cover ",D/C,1,Before,03/08/16,Chinese,
"Nothing, disturbed, cover ",D/C,1,After,03/08/16,Chinese,
"Nothing, disturbed, no cover ",D,4,Before,23/06/16,Chinese,
"Nothing, disturbed, no cover ",D,4,Before,02/07/16,Chinese,
"Nothing, disturbed, no cover ",D,4,After,02/07/16,Chinese,
"Nothing, disturbed, no cover ",D,3,Before,06/07/16,Chinese,
"Nothing, disturbed, no cover ",D,3,After,06/07/16,Chinese,
"Nothing, disturbed, no cover ",D,2.5,Before,09/07/16,Chinese,
"Nothing, disturbed, no cover ",D,2.5,After,09/07/16,Chinese,
"Nothing, disturbed, no cover ",D,2.5,Before,13/07/16,Chinese,
"Nothing, disturbed, no cover ",D,2.5,After,13/07/16,Chinese,
"Nothing, disturbed, no cover ",D,2.5,Before,16/07/16,Chinese,
"Nothing, disturbed, no cover ",D,2.5,After,16/07/16,Chinese,
"Nothing, disturbed, no cover ",D,2,Before,20/07/16,Chinese,
"Nothing, disturbed, no cover ",D,2,After,20/07/16,Chinese,
"Nothing, disturbed, no cover ",D,3,Before,23/07/16,Chinese,
"Nothing, disturbed, no cover ",D,3,After,23/07/16,Chinese,
"Nothing, disturbed, no cover ",D,2.5,Before,27/07/16,Chinese,
"Nothing, disturbed, no cover ",D,2.5,After,27/07/16,Chinese,
"Nothing, disturbed, no cover ",D,2.5,Before,30/07/16,Chinese,
"Nothing, disturbed, no cover ",D,2.5,After,30/07/16,Chinese,
"Nothing, disturbed, no cover ",D,2,Before,03/08/16,Chinese,
"Nothing, disturbed, no cover ",D,2,After,03/08/16,Chinese,
"Saturated, cover",H/C,3,Before,23/06/16,Chinese,
"Saturated, cover",H/C,1.75,Before,02/07/16,Chinese,
"Saturated, cover",H/C,2,After,02/07/16,Chinese,
"Saturated, cover",H/C,1.5,Before,06/07/16,Chinese,
"Saturated, cover",H/C,2,After,06/07/16,Chinese,
"Saturated, cover",H/C,1.5,Before,09/07/16,Chinese,
"Saturated, cover",H/C,2,After,09/07/16,Chinese,
"Saturated, cover",H/C,1.5,Before,13/07/16,Chinese,
"Saturated, cover",H/C,2,After,13/07/16,Chinese,
"Saturated, cover",H/C,1.5,Before,16/07/16,Chinese,
"Saturated, cover",H/C,2.5,After,16/07/16,Chinese,
"Saturated, cover",H/C,2,Before,20/07/16,Chinese,
"Saturated, cover",H/C,2,After,20/07/16,Chinese,
"Saturated, cover",H/C,2,Before,23/07/16,Chinese,
"Saturated, cover",H/C,3.5,After,23/07/16,Chinese,
"Saturated, cover",H/C,2,Before,27/07/16,Chinese,
"Saturated, cover",H/C,2,After,27/07/16,Chinese,
"Saturated, cover",H/C,2,Before,30/07/16,Chinese,
"Saturated, cover",H/C,2,After,30/07/16,Chinese,
